Baseline 100%T,,Baseline 100%T,,Ti(Salen)(OiPr)2,,Ti(Salen)(OiPr)2 + AgBArF,,Ti(Salen)(OiPr)2 + AgBArF repeat,,Ti(Salen)(OiPr)2 + AgBArF + BIPY,,AgBArF ref,,BIPY ref,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
730.9881592,0.05545500293,730.9881592,0.05545500293,730.9881592,0.002021369059,730.9881592,0.001545290812,730.9881592,0.00303376792,730.9881592,0.03120063059,730.9881592,0.04593177885,730.9881592,0.02212331817,
729.9902954,0.05530076474,729.9902954,0.05530076474,729.9902954,0.001964339986,729.9902954,0.001657557325,729.9902954,0.003206342459,729.9902954,0.03107451275,729.9902954,0.0457441844,729.9902954,0.02210280858,
728.9921875,0.05497903004,728.9921875,0.05497903004,728.9921875,0.002356621204,728.9921875,0.001948660356,728.9921875,0.003607499879,728.9921875,0.03139220178,728.9921875,0.04631797969,728.9921875,0.02247674949,
727.9937744,0.05542447418,727.9937744,0.05542447418,727.9937744,0.001885245205,727.9937744,0.001593379187,727.9937744,0.003787091933,727.9937744,0.0310198497,727.9937744,0.04588226229,727.9937744,0.02234703302,
726.9949341,0.05540415272,726.9949341,0.05540415272,726.9949341,0.002032110002,726.9949341,0.001817706041,726.9949341,0.004045344889,726.9949341,0.03129490465,726.9949341,0.04631823674,726.9949341,0.0225106366,
725.9957275,0.05564542487,725.9957275,0.05564542487,725.9957275,0.001954823034,725.9957275,0.001685258118,725.9957275,0.003678319976,725.9957275,0.03117006458,725.9957275,0.04611752555,725.9957275,0.0224508252,
724.9962158,0.05547950417,724.9962158,0.05547950417,724.9962158,0.00228768168,724.9962158,0.001958463341,724.9962158,0.003463963047,724.9962158,0.03143847734,724.9962158,0.04648507386,724.9962158,0.02260301262,
723.9963989,0.05552827194,723.9963989,0.05552827194,723.9963989,0.002368229209,723.9963989,0.002129804576,723.9963989,0.003597372444,723.9963989,0.03129167482,723.9963989,0.04654503241,723.9963989,0.02256977372,
722.9961548,0.05588809773,722.9961548,0.05588809773,722.9961548,0.002014659345,722.9961548,0.001700798399,722.9961548,0.003419893794,722.9961548,0.03111691773,722.9961548,0.0465150401,722.9961548,0.02218441851,
721.9956665,0.05590058118,721.9956665,0.05590058118,721.9956665,0.002075206256,721.9956665,0.002178686205,721.9956665,0.003280331613,721.9956665,0.03132105619,721.9956665,0.04655998945,721.9956665,0.02241885103,
720.994751,0.05581624061,720.994751,0.05581624061,720.994751,0.002244876465,720.994751,0.002093621762,720.994751,0.003358611371,720.994751,0.03130441904,720.994751,0.04704135656,720.994751,0.02223790064,
719.9935303,0.05577506125,719.9935303,0.05577506125,719.9935303,0.002163727302,719.9935303,0.002146323444,719.9935303,0.003479854204,719.9935303,0.03136501461,719.9935303,0.047347188,719.9935303,0.02225642838,
718.9919434,0.05573338643,718.9919434,0.05573338643,718.9919434,0.002022539265,718.9919434,0.001957553206,718.9919434,0.004098544829,718.9919434,0.03122524731,718.9919434,0.04720529914,718.9919434,0.02196095139,
717.9900513,0.05574050546,717.9900513,0.05574050546,717.9900513,0.002070212504,717.9900513,0.001918706577,717.9900513,0.005397937726,717.9900513,0.0314713195,717.9900513,0.04709573835,717.9900513,0.02194801718,
